car_id,engine,displacement,net_torque,horsepower
408,V12,5.9,420.0,510.0
409,V12,5.9,420.0,510.0
410,V12,5.9,420.0,510.0
411,V12,5.9,420.0,510.0
412,V12,5.9,420.0,510.0
413,V12,6.0,420.0,510.0
414,V12,6.0,420.0,510.0
415,V12,6.0,420.0,510.0
416,V12,5.9,420.0,510.0
417,V6,3.0,369.0,335.0
418,V6,3.0,369.0,335.0
419,V6,3.0,369.0,335.0
420,l4,2.0,273.0,252.0
421,V6,3.0,325.0,340.0
422,V6,3.0,325.0,340.0
423,V6,3.0,325.0,340.0
424,V6,3.0,325.0,340.0
425,l4,2.0,273.0,252.0
426,l4,2.0,273.0,252.0
427,l4,2.0,273.0,252.0
428,l4,2.0,273.0,252.0
429,l4,2.0,273.0,252.0
430,l4,2.0,273.0,252.0
431,V6,3.0,325.0,333.0
432,V6,3.0,325.0,333.0
433,V6,3.0,428.0,240.0
434,V6,3.0,428.0,240.0
435,l4,2.0,273.0,252.0
436,l4,2.0,273.0,252.0
437,l4,2.0,273.0,252.0
438,l4,2.0,258.0,220.0
439,V6,3.0,325.0,310.0
440,V6,3.0,325.0,310.0
441,V6,3.0,428.0,240.0
442,V6,3.0,428.0,240.0
443,l4,2.0,258.0,220.0
444,l4,2.0,258.0,220.0
445,l4,2.0,258.0,220.0
446,l4,2.0,258.0,220.0
447,V6,3.0,325.0,310.0
448,V6,3.0,325.0,310.0
449,V6,3.0,428.0,240.0
450,V6,3.0,428.0,240.0
451,l4,2.0,258.0,220.0
452,l4,2.0,258.0,220.0
453,l4,2.0,258.0,220.0
454,l4,2.0,258.0,211.0
455,V6,3.0,325.0,310.0
456,V6,3.0,325.0,310.0
457,V6,3.0,325.0,310.0
458,l4,2.0,258.0,211.0
459,l4,2.0,258.0,211.0
460,l4,2.0,258.0,211.0
461,l4,2.0,258.0,211.0
462,V6,3.0,325.0,310.0
463,V6,3.0,325.0,310.0
464,V6,3.0,325.0,310.0
465,l4,2.0,258.0,211.0
466,V6,3.0,310.0,300.0
467,V8,4.2,325.0,350.0
468,V6,3.0,310.0,300.0
469,V6,3.0,310.0,300.0
470,V6,3.0,310.0,300.0
471,V6,3.2,243.0,265.0
472,V6,3.2,243.0,265.0
473,V6,3.0,310.0,300.0
474,V6,3.0,310.0,300.0
475,V6,3.0,310.0,300.0
476,V8,4.2,325.0,350.0
477,V6,3.0,310.0,300.0
478,V6,3.0,310.0,300.0
479,V6,3.0,310.0,300.0
480,V6,3.2,243.0,265.0
481,V6,3.2,243.0,265.0
482,V6,3.0,310.0,300.0
483,V6,3.0,310.0,300.0
484,V6,3.0,310.0,300.0
485,V8,4.2,325.0,350.0
486,V6,3.2,243.0,255.0
487,V6,3.2,243.0,255.0
488,V6,3.0,310.0,300.0
489,V6,3.0,310.0,300.0
490,V6,3.0,310.0,300.0
491,V6,3.0,310.0,300.0
492,V6,3.0,310.0,300.0
493,V6,3.2,243.0,255.0
494,V8,4.2,325.0,350.0
495,V6,3.2,243.0,255.0
496,V6,3.2,243.0,255.0
497,V6,3.2,243.0,255.0
498,V8,4.2,325.0,350.0
499,V6,3.2,243.0,255.0
500,V6,3.2,243.0,255.0
501,V6,3.1,243.0,255.0
